n,time
2163,5328
2164,5342
2165,5332
2166,5329
2167,5310
2168,5323
2169,5360
2170,5341
2171,5361
2172,5329
2173,5339
2174,5351
2175,5301
2176,5352
2177,5333
2178,5335
2179,5339
2180,5326
2181,5301
2182,5330
2183,5342
2184,5331
2185,5334
2186,5328
2187,5338
2188,5341
2189,5299
2190,5335
2191,5296
2192,5332
2193,5343
2194,5332
2195,5334
2196,5330
2197,5330
2198,5333
2199,5339
2200,5358
2201,5337
2202,5247
2203,5270
2204,5353
2205,5338
2206,5344
2207,5328
2208,5347
2209,5305
2210,5280
2211,5283
2212,5334
2213,5350
2214,5343
2215,5335
2216,5337
2217,5362
2218,5354
2219,5333
2220,5365
2221,5332
2222,5330
2223,5333
2224,5325
2225,5294
2226,5349
2227,5331
2228,5340
2229,5316
2230,5352
2231,5338
2232,5339
2233,5331
2234,5336
2235,5329
2236,5328
2237,5359
2238,5358
2239,5326
2240,5336
2241,5325
2242,5336
2243,5351
2244,5328
2245,5338
2246,5293
2247,5345
2248,5297
2249,5360
2250,5333
2251,5368
2252,5321
2253,5346
2254,5329
2255,5368
2256,5332
2257,5355
2258,5329
2259,5332
2260,5335
2261,5350
2262,5344
2263,5318
2264,5308
2265,5308
2266,5297
2267,5262
2268,5361
2269,6560
2270,5340
2271,5332
2272,5337
2273,5343
2274,5325
2275,5309
2276,5286
2277,5366
2278,5347
2279,5383
2280,5364
2281,5352
2282,5340
2283,5371
2284,5345
2285,5349
2286,5344
2287,5361
2288,5358
2289,5341
2290,5351
2291,5350
2292,5302
2293,5311
2294,5219
2295,5328
2296,5346
2297,5280
2298,5330
2299,5328
2300,5330
2301,5334
2302,5325
2303,5331
2304,5319
2305,5349
2306,5336
2307,5343
2308,5332
2309,5328
2310,5331
2311,5330
2312,5331
2313,5656
2314,5352
2315,5331
2316,5359
2317,5351
2318,5234
2319,5328
2320,5351
2321,5336
2322,5347
2323,5330
2324,5342
2325,5296
2326,5360
2327,5272
2328,5336
2329,5299
2330,5331
2331,5281
2332,5328
2333,5349
2334,5327
2335,5345
2336,5304
2337,5259
2338,5256
2339,5349
2340,5340
2341,5354
2342,5352
2343,5277
2344,5373
2345,5700
2346,5317
2347,5298
2348,5318
2349,5351
2350,5328
2351,5342
2352,5328
2353,5301
2354,5323
2355,5355
2356,5345
2357,5373
2358,5361
2359,5337
2360,5330
2361,5332
2362,5356
2363,5348
2364,5310
2365,5353
2366,5342
2367,5331
2368,5320
2369,5348
2370,5330
2371,5330
2372,5329
2373,5333
2374,5343
2375,5351
2376,5336
2377,5340
2378,5329
2379,5332
2380,5335
2381,5337
2382,5328
2383,5326
2384,5341
2385,5338
2386,5336
2387,5328
2388,5350
2389,5334
2390,5332
2391,5325
2392,5340
2393,5291
2394,5326
2395,5328
2396,5324
2397,5332
2398,5329
2399,5325
2400,5336
2401,5327
2402,5336
2403,5330
2404,5328
2405,5330
2406,5334
2407,5335
2408,5337
2409,5256
2410,5388
2411,5336
2412,5346
2413,5613
2414,5334
2415,5326
2416,5332
2417,5326
2418,5348
2419,5289
2420,5348
2421,5331
2422,5343
2423,5344
2424,5406
2425,5351
2426,5338
2427,5347
2428,5329
2429,5362
2430,5329
2431,5340
2432,5353
2433,6214
2434,5306
2435,5343
2436,5346
2437,5327
2438,5355
2439,5332
2440,5334
2441,5327
2442,5333
2443,5341
2444,5362
2445,5348
2446,5330
2447,5357
2448,5326
2449,5336
2450,5331
2451,5338
2452,5334
2453,5332
2454,5333
2455,5359
2456,5358
2457,5293
2458,5332
2459,5225
2460,5345
2461,5327
2462,5336
2463,5327
2464,5332
2465,5340
2466,5337
2467,5359
2468,5392
2469,5333
2470,5333
2471,5335
2472,5341
2473,5327
2474,5336
2475,5327
2476,5331
2477,5324
2478,5345
2479,5271
2480,5357
2481,5290
2482,5359
2483,5360
2484,5331
2485,5334
2486,5332
2487,5333
2488,5333
2489,5332
2490,5331
2491,5330
2492,5462
2493,5288
2494,5328
2495,5303
